"","VillageAll","GPS.point","admin1Name","admin1Pcod","admin2","admin2Pcod","admin3Name","admin3Pcod","TotalPop_fixe","VillageAll_test","VillageAll_test_2","VillageAll_test_3","VillageAll_admin2"
"1"," Abbo Boyafe","15.464091,5.207386","Nana-Mambéré","CF22","Abba","CF224","Nadziboro","CF2242","411.824223","AbboBoyafe","abboboyafe","abboboyafe","abboboyafe Abba"
"2"," Adoum","20.5684359999999,5.834778","Ouaka","CF43","Bambari","CF431","Pladama-Ouaka","CF4314","858.37856","Adoum","adoum","adoum","adoum Bambari"
"3"," Amada-Gaza","15.1956019999999,4.772098","Mambéré-Kadéi","CF21","Amada-Gaza","CF214","Haute-Boumbé","CF2141","2928.447822","Amada-Gaza","amada-gaza","amada-gaza","amada-gaza Amada-Gaza"
"4"," Amani","21.9801919999999,4.652996","Mbomou","CF62","Gambo","CF623","Gambo","CF6231","613.180597","Amani","amani","amani","amani Gambo"
"5"," Ambang","15.337197,3.77884","Mambéré-Kadéi","CF21","Dede-Mokouba","CF216","Haute-Kadéi","CF2161","1812.962263","Ambang","ambang","ambang","ambang Dede-Mokouba"
"6"," Ambauchure","18.582974,3.678799","Lobaye","CF12","Mongoumba","CF122","Mongoumba","CF1221","422.372429","Ambauchure","ambauchure","ambauchure","ambauchure Mongoumba"
"7"," Anafio","17.3256799999999,6.896445","Ouham","CF32","Nana-Bakassa","CF322","Nana-Bakassa","CF3221","3331.246787","Anafio","anafio","anafio","anafio Nana-Bakassa"
"8"," Aradi","15.327247,4.540679","Mambéré-Kadéi","CF21","Berberati","CF211","Ouakanga","CF2113","2195.027237","Aradi","aradi","aradi","aradi Berberati"
"9"," Army","22.611547,10.3675029999999","Vakaga","CF53","Birao","CF531","Ridina","CF5311","317.733655","Army","army","army","army Birao"
"10"," Assoulemaka","19.661434,6.031003","Kémo","CF41","Mala","CF413","Mala","CF4131","988.842996","Assoulemaka","assoulemaka","assoulemaka","assoulemaka Mala"
"11"," Babanon","18.332798,5.825515","Ouham","CF32","Bouca","CF325","Fafa Boungou","CF3254","993.745497","Babanon","babanon","babanon","babanon Bouca"
"13"," Babili","17.230072,4.601566","Lobaye","CF12","Boganda","CF125","Boganda","CF1251","415.086586","Babili","babili","babili","babili Boganda"
"14"," Babongo","16.262001,3.002364","Sangha-Mbaéré","CF23","Bayanga","CF233","Yobé-Sangha","CF2331","446.276962","Babongo","babongo","babongo","babongo Bayanga"
"15"," Bac Lim","15.526628,7.286493","Ouham Pendé","CF31","Ngaoundaye","CF315","Kodi","CF3153","2565.701802","BacLim","baclim","baclim","baclim Ngaoundaye"
"16"," Bac-Lobe","18.425048,3.687927","Lobaye","CF12","Mongoumba","CF122","Mongoumba","CF1221","944.126607","Bac-Lobe","bac-lobe","bac-lobe","bac-lobe Mongoumba"
"17"," Badakou","22.8082959999999,4.782067","Mbomou","CF62","Bangassou","CF621","Sayo Niakari","CF6212","395.958842","Badakou","badakou","badakou","badakou Bangassou"
"18"," Badangafou","16.6892649999999,5.58135","Ombella M'Poko","CF11","Yaloke","CF116","Guézéli","CF1162","1137.992142","Badangafou","badangafou","badangafou","badangafou Yaloke"
"19"," Bagandou","17.8486219999999,3.745663","Lobaye","CF12","Mbaiki","CF121","Moboma","CF1217","4196.021962","Bagandou","bagandou","bagandou","bagandou Mbaiki"
"20","LEMANA 3","20.690172,8.459111","Bamingui-Bangoran","CF51","Ndele","CF511","Dar El Kouti","CF5111","473.908647","LEMANA3","lemana3","lemana3","lemana3 Ndele"
"21"," Bagoua","17.3616899999999,4.071813","Lobaye","CF12","Boda","CF123","Lobaye","CF1232","935.349757","Bagoua","bagoua","bagoua","bagoua Boda"
"22"," Bagoudou","15.2452109999999,3.935581","Mambéré-Kadéi","CF21","Dede-Mokouba","CF216","Haute-Kadéi","CF2161","3874.957804","Bagoudou","bagoudou","bagoudou","bagoudou Dede-Mokouba"
"23"," Bakaba","17.219096,7.312322","Ouham","CF32","Markounda","CF323","Nana Markounda","CF3231","274.105013","Bakaba","bakaba","bakaba","bakaba Markounda"
"24"," Bakala","20.3882319999999,6.193155","Ouaka","CF43","Bakala","CF432","Koudou-Bégo","CF4321","2759.683385","Bakala","bakala","bakala","bakala Bakala"
"25"," Bakoa","19.7668199999999,5.754252","Ouaka","CF43","Grimari","CF433","Kobadja","CF4332","1591.199822","Bakoa","bakoa","bakoa","bakoa Grimari"
"26"," Bakobo","15.678811,3.402976","Sangha-Mbaéré","CF23","Nola","CF231","Bilolo","CF2312","678.862424","Bakobo","bakobo","bakobo","bakobo Nola"
"27"," Bakongo","19.152204,5.739337","Kémo","CF41","Sibut","CF411","Ngoumbele","CF4112","3472.820522","Bakongo","bakongo","bakongo","bakongo Sibut"
